District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
KENTFIELD ELEMENTARY,California,1257,0,0.06,0.1,0.058870326,18.22,0.951,0
STILWELL,Oklahoma,1257,0,0.12,0.24,0.903739061,12.88,1.005,1
PONTIAC CCSD 429,Illinois,1256,0,0,0.25,0.579617834,13.37,0.951,0
HOWARD-WINNESHIEK COMM SCHOOL DISTRICT,Iowa,1256,0,0.01,0.15,0.385350318,15.59,0.982,0
FRANKENMUTH SCHOOL DISTRICT,Michigan,1256,0,0.01,0.08,0.159235669,24.45,0.951,0
CROOKSTON PUBLIC SCHOOL DISTRICT,Minnesota,1256,0,0.06,0.22,0.453821656,13.71,1.355,0
LAKE CITY PUBLIC SCHOOL DISTRICT,Minnesota,1256,0,0.02,0.15,0.237261146,14.44,0.976,0
CLARENDON 03,South Carolina,1256,0,0.05,0.13,1,17.21,0.92,0
KAW VALLEY,Kansas,1255,0,0,0.2,0.372111554,11.39,1.056,0
LE ROY CENTRAL SCHOOL DISTRICT,New York,1255,0,0.01,0.1,0.330677291,12.29,0.956,0
SALAMANCA CITY SCHOOL DISTRICT,New York,1255,0,0,0.14,0.571314741,10.61,0.934,0
TEAGUE ISD,Texas,1254,0,0.06,0.1,0.566188198,12.59,0.862,0
TOMAHAWK SCHOOL DISTRICT,Wisconsin,1254,0,0,0.12,0.176236045,13.51,0.951,0
BOONEVILLE SCHOOL DISTRICT,Arkansas,1253,0,0.01,0.13,0.645650439,12.67,0.945,0
BLACK OAK MINE UNIFIED,California,1253,0.17,0.01,0.16,0.450917797,23.38,1.061,0
TWIN HILLS UNION ELEMENTARY,California,1252,0.75,0.03,0.08,0.160543131,21.85,0.966,0
CLINTON PRAIRIE SCHOOL CORPORATION,Indiana,1252,0,0.02,0.13,0.3985623,18.8,0.794,0
TRINITY ISD,Texas,1252,0,0.08,0.08,0.735623003,13.83,0.895,0
HUMBOLDT COMM SCHOOL DISTRICT,Iowa,1251,0,0.05,0.11,0.429256595,14.03,0.925,0
AURORA PUBLIC SCHOOLS,Nebraska,1251,0,0.01,0.17,0.294964029,13.03,0.842,0
PARK RIDGE SCHOOL DISTRICT,New Jersey,1250,0,0.03,0.23,0.0568,10.83,0.98,0
SLATON ISD,Texas,1250,0,0.05,0.12,0.748,11.87,0.958,0
ALBIA COMM SCHOOL DISTRICT,Iowa,1249,0,0.01,0.11,0.362690152,15.11,0.917,0
GASTON COLLEGE PREPARATORY,North Carolina,1248,1,0.01,0.05,0.778846154,15.64,1.088,0
ROCKY MOUNT PREPARATORY,North Carolina,1247,1,0.01,0.11,0.7361668,17.49,0.997,0
ARCADIA SCHOOL DISTRICT,Wisconsin,1247,0,0.33,0.11,0.639935846,12.96,1.225,0
RIVERCREST SCHOOL DISTRICT #57,Arkansas,1246,0,0.01,0.09,0.419743178,13.12,1.065,0
MOUNTAIN VIEW SCHOOL DISTRICT,Idaho,1246,0,0,0.13,0.290583478,16.17,0.999,0
HENRYETTA,Oklahoma,1246,0,0,0.23,0.753611557,15.59,0.947,1
OKLAHOMA CONNECTIONS ACADEMY,OKLAHOMA,1246,1,0.01,0.14,0.34670947,1384.44,0.972,1
IROQUOIS SD,Pennsylvania,1246,0,0,0.21,0.793739968,15.58,0.958,0
DIMMITT ISD,Texas,1246,0,0.18,0.07,0.830658106,11.99,0.876,0
TENINO SCHOOL DISTRICT,Washington,1246,0,0,0.13,0.48635634,18.43,1.172,0
LINCOLN SCHOOL DISTRICT,Arkansas,1245,0.33,0.08,0.15,0.475502008,13.26,0.886,0
HEBER ELEMENTARY,California,1245,0,0.52,0.11,0.889156627,21.75,0.927,0
LINDSAY,Oklahoma,1245,0,0.04,0.16,0.536546185,15.02,0.931,1
BOYD ISD,Texas,1245,0,0.03,0.07,0.490763052,13.82,0.881,0
CENTRAL NOBLE COM SCHOOL CORP,Indiana,1244,0,0,0.17,0.394694534,17.68,0.846,0
AMHERST SCHOOL DISTRICT,New Hampshire,1244,0,0.01,0.11,0.047427653,13.46,0.989,0
EAST GRAND SCHOOL DISTRICT NO. 2,Colorado,1243,0,0.06,0.11,0.325020113,13.6,0.897,1
TAWAS AREA SCHOOLS,Michigan,1243,0,0,0.11,0.522123894,20.13,0.963,0
GRAHAM COUNTY SCHOOLS,North Carolina,1243,0,0.02,0.14,0.641995173,13.6,1.082,0
QUEENS GRANT COMMUNITY SCHOOL,North Carolina,1243,1,0.01,0.09,0.191472245,17.98,1.041,0
ALLENDALE 01,South Carolina,1243,0,0.01,0.11,1,14.3,1.038,0
VERMILLION SCHOOL DISTRICT 13-1,South Dakota,1243,0,0.01,0.13,0.328238134,13.87,1.107,0
MT VERNON TWP HSD 201,Illinois,1242,0,0.01,0.17,0.52979066,16.21,0.925,0
NORTH CENTRAL PARKE COMM SCHL CORP,Indiana,1242,0,0,0.21,0.533816425,11.97,0.91,0
LINCOLNWOOD SD 74,Illinois,1241,0,0.14,0.13,0.117647059,12.46,1.076,0
DEER PARK COMMUNITY CITY,Ohio,1241,0,0.03,0.17,0.451248993,18.14,0.904,0
DEWEY,Oklahoma,1241,0,0.01,0.14,0.60918614,16.71,1.068,1
MCGEHEE SCHOOL DISTRICT,Arkansas,1240,0,0.03,0.14,0.531451613,11.36,0.905,0
LAKEVILLE COMMUNITY SCHOOL DISTRICT,Michigan,1240,0,0,0.18,0.512903226,19.65,1.151,0
STRAFFORD R-VI,Missouri,1240,0,0,0.12,0.435483871,14.13,1.633,0
MIDDLESEX CO PBLC SCHS,Virginia,1240,0,0.01,0.14,0.525806452,14.16,0.857,0
DAVIS COUNTY COMM SCHOOL DISTRICT,Iowa,1239,0,0,0.11,0.436642454,13.69,0.896,0
LIVINGSTON COUNTY,Kentucky,1239,0,0,0.16,0.631961259,16.09,0.955,1
KIPP ST LOUIS PUBLIC SCHOOLS,Missouri,1239,1,0,0.1,1.011299435,18.72,0.816,0
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,New York,1239,0,0.01,0.24,0.485068604,10.24,0.96,0
CORBETT SD 39,Oregon,1239,0,0.03,0.08,0.264729621,22.25,0.839,0
BENSON UNIFIED SCHOOL DISTRICT,Arizona,1238,0,0.01,0.15,0.495961228,18.48,0.915,1
OSCEOLA SCHOOL DISTRICT,Arkansas,1238,0.25,0.01,0.11,0.990306947,12.02,0.965,0
COUNTRY CLUB HILLS SD 160,Illinois,1238,0,0.02,0.14,0.711631664,15.46,1.024,0
BERKSHIRE LOCAL,Ohio,1238,0,0,0.16,0.273828756,17.7,0.925,0
HUGO,Oklahoma,1238,0,0.02,0.22,0.9273021,16.69,1.007,1
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,1238,1,0.1,0.07,0.499192246,14.61,0.79,0
CHANNAHON SD 17,Illinois,1237,0,0.02,0.11,0.16087308,14.25,0.692,0
TRIAD MATH AND SCIENCE ACADEMY,North Carolina,1237,1,0.08,0.09,0.505254648,13.33,0.996,0
NEKOOSA SCHOOL DISTRICT,Wisconsin,1237,0.33,0.02,0.15,0.408245756,15.35,1.091,0
ARTHUR CUSD 305,Illinois,1236,0,0.01,0.18,0.403721683,11.77,1.135,0
SPIRIT LAKE COMM SCHOOL DISTRICT,Iowa,1236,0,0.01,0.1,0.260517799,14.14,0.951,0
BUTLER PUBLIC SCHOOL DISTRICT,New Jersey,1236,0,0.03,0.24,0.212783172,12.11,0.945,0
PIEDMONT CITY,Alabama,1235,0,0,0.07,0.616194332,18.41,1.007,0
SMACKOVER SCHOOL DISTRICT,Arkansas,1235,0,0.01,0.1,0.259919028,12.28,0.851,0
PIKEVILLE INDEPENDENT,Kentucky,1235,0,0.01,0.13,0.384615385,15.44,0.945,1
PESHTIGO SCHOOL DISTRICT,Wisconsin,1235,0,0.01,0.13,0.336842105,15.24,0.984,0
TRENTON R-IX,Missouri,1232,0,0,0.17,0.537337662,12.92,0.99,0
PYMATUNING VALLEY LOCAL,Ohio,1232,0,0,0.15,0.691558442,19.46,0.833,0
CUMBERLAND REGIONAL SCHOOL DISTRICT,New Jersey,1231,0,0,0.18,0.485783916,15.29,0.989,0
SALIDA SCHOOL DISTRICT NO. R-32,Colorado,1229,0,0.02,0.11,0.336859235,13.73,1.028,1
CROOKED OAK,Oklahoma,1228,0,0.29,0.16,0.956840391,17.82,1.007,1
LINTON-STOCKTON SCHOOL CORPORATION,Indiana,1227,0,0.01,0.11,0.516707416,12.94,0.89,0
EAGLE RIDGE ACADEMY CHARTER SCHOOL,Minnesota,1227,1,0.09,0.05,0.192339038,16.22,0.978,0
WHITEFISH ELEM,Montana,1227,0,0.01,0.11,0.273838631,16.47,0.932,0
OMRO SCHOOL DISTRICT,Wisconsin,1227,0,0.03,0.11,0.269763651,14.64,0.938,0
RINGWOOD SCHOOL DISTRICT,New Jersey,1226,0,0.01,0.2,0.077487765,11.79,0.936,0
BERRYHILL,Oklahoma,1226,0,0,0.11,0.317292007,18.3,0.93,1
LA SALLE-PERU TWP HSD 120,Illinois,1225,0,0.02,0.14,0.393469388,14.3,1.033,0
SOUTHEAST DUBOIS CO SCH CORP,Indiana,1225,0,0.01,0.12,0.235102041,15.66,0.884,0
MAROA FORSYTH CUSD 2,Illinois,1224,0,0.01,0.09,0.238562092,17.36,0.916,0
WILKINSON CO SCHOOL DIST,Mississippi,1224,0,0,0.14,0.990196078,16.24,0.971,0
WAHPETON 37,North Dakota,1224,0,0.02,0.14,0.378267974,15,1.182,0
LINCOLN,Massachusetts,1222,0,0.03,0.18,0.566666667,10.46,0.975,0
BANGOR PUBLIC SCHOOLS (VAN BUREN),Michigan,1221,0,0.19,0.11,0.768222768,19.5,0.966,0
LANCASTER CO PBLC SCHS,Virginia,1221,0,0.01,0.14,0.693693694,12.75,0.962,0
ST. HELENA PARISH,Louisiana,1220,0,0,0.14,0.916393443,16.7,1.128,0
BELLMAWR PUBLIC SCHOOL DISTRICT,New Jersey,1219,0,0.04,0.12,0.519278097,13.93,0.911,0
BLOOMER SCHOOL DISTRICT,Wisconsin,1219,0,0.01,0.12,0.305988515,14.17,0.935,0
ESKO PUBLIC SCHOOL DISTRICT,Minnesota,1218,0,0,0.1,0.112479475,16.95,0.922,0
NORTH MERRICK UNION FREE SCHOOL DISTRICT,New York,1218,0,0.02,0.15,0.083743842,12.42,1.017,0
LAWRENCE COUNTY CUD 20,Illinois,1217,0,0,0.16,0.543960559,13.3,1.02,0
SOUTH SPENCER COUNTY SCH CORP,Indiana,1217,0,0,0.2,0.422350041,15.86,0.823,0
EAST TALLAHATCHIE CONSOL SCH DIST,Mississippi,1216,0,0,0.1,0.879111842,14.41,1.01,0
HOLDEN R-III,Missouri,1216,0,0,0.16,0.407894737,13.83,1.131,0
IDABEL,Oklahoma,1216,0,0.04,0.14,1,14.81,1.01,1
CRESCENT ACADEMY,Michigan,1215,1,0,0.04,0.745679012,17.11,0.965,0
HIAWATHA ACADEMIES,Minnesota,1215,1,0.61,0.1,0.904526749,13.29,1.007,0
MANSFIELD SCHOOL DISTRICT,Connecticut,1214,0,0.05,0.12,0.246293245,11.14,1.046,0
ZUMBROTA-MAZEPPA SCHOOL DISTRICT,Minnesota,1214,0,0.01,0.13,0.225700165,16.05,1.016,0
CLEVER R-V,Missouri,1214,0,0,0.1,0.36738056,14.83,1.074,0
UPPER SADDLE RIVER SCHOOL DISTRICT,New Jersey,1214,0,0.01,0.18,0.004942339,10.6,0.948,0
BUTTE COUNTY OFFICE OF EDUCATION,California,1213,0.43,0.01,0.04,0.538334707,15.37,0.965,0
MAMMOTH UNIFIED,California,1213,0,0.19,0.08,0.551525144,19.55,1.023,0
FRANKLIN ISD,Texas,1213,0,0.02,0.1,0.370981039,11.54,0.91,0
WILCOX COUNTY,Georgia,1212,0,0.01,0.11,0.95049505,14.91,0.991,0
INDUSTRIAL ISD,Texas,1212,0,0.04,0.09,0.338283828,13.06,0.87,0
HARRISBURG SCHOOL DISTRICT,Arkansas,1211,0,0.01,0.17,0.990090834,12.18,0.964,0
ELKINS SCHOOL DISTRICT,Arkansas,1210,0,0.02,0.09,0.301652893,15.16,1.015,0
MOUNT GILEAD EXEMPTED VILLAGE,Ohio,1210,0,0.01,0.18,0.5,16.79,1.004,0
WILLIAMSBURG COMM SCHOOL DISTRICT,Iowa,1208,0,0.03,0.09,0.248344371,13.3,0.97,0
BLAIR OAKS R-II,Missouri,1208,0,0,0.13,0.143211921,15.73,0.935,0
ARCHBOLD-AREA LOCAL,Ohio,1208,0,0.02,0.11,0.265728477,16.53,0.898,0
MARIANA BRACETTI ACADEMY CS,Pennsylvania,1208,1,0.09,0.17,0.991721854,17.64,1.011,0
VANDERCOOK LAKE PUBLIC SCHOOLS,Michigan,1206,0,0,0.13,0.599502488,17.4,0.988,0
DUNELLEN PUBLIC SCHOOL DISTRICT,New Jersey,1206,0,0.03,0.14,0.454394693,12.5,0.984,0
ROOTSTOWN LOCAL,Ohio,1206,0,0.01,0.14,0.272802653,17.13,0.891,0
NORTHRIDGE LOCAL,Ohio,1205,0,0.01,0.11,0.31120332,17.39,1.012,0
KINGSTON,Oklahoma,1205,0,0.01,0.23,0.952697095,15.61,1.021,1
FRAZIER SD,Pennsylvania,1203,0,0,0.14,0.400665004,15.83,1.698,0
NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,1201,0,0.01,0.14,0.318068276,10.88,0.934,0
PLEASANT LOCAL,Ohio,1201,0,0.01,0.07,0.377185679,13.07,0.86,0
SAINT HELENA UNIFIED,California,1199,0,0.23,0.09,0.100917431,16.39,1.012,0
THEA BOWMAN LEADERSHIP ACADEMY,Indiana,1199,1,0,0.1,0.797331109,17.63,1.096,0
BUTTE H S,Montana,1199,0,0,0.12,0.367806505,15.15,0.896,0
HILLSDALE SCHOOL DISTRICT,New Jersey,1199,0,0.02,0.23,0.066722269,10.29,0.968,0
SCHUYLKILL HAVEN AREA SD,Pennsylvania,1199,0,0,0.23,0.431192661,12.23,0.906,0
CHILTON SCHOOL DISTRICT,Wisconsin,1199,0,0.07,0.15,0.2793995,13.8,0.986,0
MINNEWASKA SCHOOL DISTRICT,Minnesota,1198,0,0,0.22,0.309682805,13.99,1.027,0
MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,New York,1198,0,0.06,0.17,0.24624374,10.09,0.889,0
MENDOTA CCSD 289,Illinois,1197,0,0.16,0.19,0.542188805,15.92,1.012,0
EASTERN GREENE SCHOOLS,Indiana,1197,0,0,0.16,0.442773601,15.45,0.925,0
ELK MOUND AREA SCHOOL DISTRICT,Wisconsin,1197,0,0.03,0.08,0.276524645,15.64,0.952,0
BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),New York,1196,0,0.01,0.14,0.296822742,11.69,0.934,0
BANKS SD 13,Oregon,1196,0,0.02,0.14,0.258361204,21.65,0.926,0
MILLBURN CCSD 24,Illinois,1195,0,0.05,0.12,0.030125523,14.09,0.865,0
VOYAGEUR ACADEMY,Michigan,1195,1,0.15,0.07,0.933054393,25.98,0.981,0
WILSON ELEMENTARY DISTRICT,Arizona,1194,0,0.23,0.07,0.932998325,17.88,1.087,1
NICHOLAS COUNTY,Kentucky,1194,0,0,0.11,0.654941374,16.83,0.951,1
SIBLEY EAST SCHOOL DISTRICT,Minnesota,1194,0,0.15,0.15,0.406197655,14.33,1.068,0
SALEM CITY SCHOOL DISTRICT,New Jersey,1194,0,0.01,0.18,0.640703518,9.87,0.986,0
VOORHEESVILLE CENTRAL SCHOOL DISTRICT,New York,1194,0,0,0.13,0.085427136,12.75,1.01,0
EUFAULA,Oklahoma,1194,0,0,0.24,0.751256281,16.23,1.012,1
BENDLE PUBLIC SCHOOLS,Michigan,1193,0,0.01,0.14,0.913663034,20.22,0.976,0
ITHACA PUBLIC SCHOOLS,Michigan,1193,0,0.01,0.16,0.438390612,17.48,0.921,0
NEWFOUND AREA SCHOOL DISTRICT,New Hampshire,1193,0,0,0.13,0.385582565,11.72,1.002,0
ELKIN CITY SCHOOLS,North Carolina,1193,0,0.05,0.12,0.419111484,13.47,1.01,0
MINERSVILLE AREA SD,Pennsylvania,1193,0,0,0.24,0.471919531,14.06,1.305,0
REGIONAL SCHOOL DISTRICT 19,Connecticut,1192,0,0.01,0.13,0.197986577,10.69,0.921,0
PAULSBORO SCHOOL DISTRICT,New Jersey,1192,0,0.01,0.26,0.749161074,10.92,0.967,0
FRANKLIN TOWNE CHS,Pennsylvania,1192,1,0.01,0.12,0.668624161,17.61,0.892,0
SPERRY,Oklahoma,1190,0,0.02,0.16,0.627731092,18,1.222,1
HART-RANSOM UNION ELEMENTARY,California,1189,0.5,0.09,0.07,0.488645921,21.78,0.891,0
BROOKFIELD LAGRANGE PARK SD 95,Illinois,1189,0,0.03,0.1,0.176619008,14.72,0.992,0
CHAMPLAIN VALLEY UHSD #15,Vermont,1189,0,0.01,0.14,0.112699748,13.91,0.959,0
PALMER ISD,Texas,1187,0,0.08,0.13,0.51895535,13.82,1.948,0
GLENCOE SD 35,Illinois,1186,0,0.02,0.12,0.010118044,11.26,0.873,0
PHOENIX ACADEMY INC,North Carolina,1186,1,0.01,0.11,0.002529511,15.5,0.998,0
THE RHODES SCHOOL,Texas,1186,1,0.02,0.08,0.723440135,13.58,0.882,0
SAYDEL COMM SCHOOL DISTRICT,Iowa,1185,0,0.07,0.13,0.399156118,12.11,1.055,0
TOMORROW RIVER SCHOOL DISTRICT,Wisconsin,1185,0.25,0,0.1,0.208438819,14.71,0.97,0
BROOKWOOD SD 167,Illinois,1183,0,0.08,0.12,0.365173288,14.49,1.056,0
WILSON CENTRAL SCHOOL DISTRICT,New York,1183,0,0.01,0.16,0.412510566,12.49,0.901,0
NICKERSON,Kansas,1182,0,0.02,0.16,0.558375635,12.56,0.963,0
HERKIMER CENTRAL SCHOOL DISTRICT,New York,1182,0,0.01,0.18,0.571912014,13.78,0.94,0
JONES COUNTY SCHOOLS,North Carolina,1182,0,0.02,0.14,0.972081218,13.36,0.987,0
EVERGREEN LOCAL,Ohio,1182,0,0,0.17,0.343485618,14.45,0.858,0
PORT TOWNSEND SCHOOL DISTRICT,Washington,1182,0,0.02,0.15,0.495769882,16.74,0.972,0
WESTSIDE ELEMENTARY,California,1181,0.75,0.17,0.09,0.649449619,21.33,0.939,0
RIVER EDGE SCHOOL DISTRICT,New Jersey,1181,0,0.07,0.25,0.00254022,13.21,0.958,0
JIM HOGG COUNTY ISD,Texas,1181,0,0.07,0.08,0.83149873,14.23,1.114,0
GRAND VALLEY SCHOOL DISTRICT NO. 16 IN THE COUNTY OF GARFI,Colorado,1180,0,0.14,0.11,0.56440678,15.79,0.859,1
DODDRIDGE COUNTY SCHOOLS,West Virginia,1180,0,0.01,0.16,0.363559322,13.04,0.927,1
BLOOMINGDALE PUBLIC SCHOOL DISTRICT,Michigan,1179,0,0.18,0.13,0.856658185,17.34,0.972,0
LIBBY K-12 SCHOOLS,Montana,1179,0,0,0.07,0.533502969,15.9,0.98,0
LANSING CENTRAL SCHOOL DISTRICT,New York,1179,0,0.01,0.13,0.251060221,10.28,0.95,0
PAWLING CENTRAL SCHOOL DISTRICT,New York,1179,0,0.04,0.14,0.24173028,11.67,1.061,0
WITTENBERG-BIRNAMWOOD SCHOOL DISTRICT,Wisconsin,1179,0,0.05,0.15,0.368108567,13.9,0.956,0
MIAMI UNIFIED DISTRICT,Arizona,1178,0,0.03,0.12,0.726655348,19.8,0.939,1
PLEASANT RIDGE UNION ELEMENTARY,California,1178,0,0.01,0.13,0.253820034,21.42,1.004,0
HOMEDALE JOINT DISTRICT,Idaho,1178,0,0.12,0.09,0.658743633,18.35,0.943,0
HOWARD LAKE-WAVERLY-WINSTED,Minnesota,1178,0,0.01,0.17,0.274193548,14.45,1.895,0
TUCKAHOE UNION FREE SCHOOL DISTRICT,New York,1178,0,0.05,0.14,0.164685908,13.36,0.887,0
RIVERDALE CUSD 100,Illinois,1177,0,0,0.13,0.262531861,16.35,1,0
GRAND TRAVERSE ACADEMY,Michigan,1177,1,0.02,0.13,0.152931181,17.18,0.907,0
JACKSON COUNTY CENTRAL SCHOOL DIST.,Minnesota,1177,0,0.01,0.21,0.378079864,14.38,0.989,0
LA CRESCENT-HOKAH SCHOOL DISTRICT,Minnesota,1177,0,0,0.15,0.193712829,16.06,1.007,0
RIVER VALE PUBLIC SCHOOL DISTRICT,New Jersey,1177,0,0.01,0.14,0.002548853,12.49,0.952,0
DUBLIN ISD,Texas,1177,0,0.17,0.07,0.762107052,12.16,0.901,0
TONASKET SCHOOL DISTRICT,Washington,1177,0,0.15,0.11,0.671197961,17.61,0.975,0
CRANBERRY AREA SD,Pennsylvania,1176,0,0,0.21,0.471088435,13.32,1.007,0
SCHOOL LANE CS,Pennsylvania,1176,1,0.06,0.12,0.471938776,13.21,1.598,0
LAS ANIMAS SCHOOL DISTRICT NO. RE-1,Colorado,1175,0,0,0.11,0.807659574,29.13,1.048,1
ELK LAKE SD,Pennsylvania,1175,0,0.01,0.18,0.433191489,12.88,1.111,0
GRANDVIEW ISD,Texas,1175,0,0.04,0.08,0.326808511,13.03,0.869,0
MONTE VISTA SCHOOL DISTRICT NO. C-8,Colorado,1173,0,0.07,0.11,0.671781756,14.98,0.944,1
ECORSE PUBLIC SCHOOLS,Michigan,1173,0,0.04,0.12,0.740835465,24.7,0.869,0
KOUNTZE ISD,Texas,1173,0,0.03,0.09,0.490196078,12.84,0.927,0
PARADISE ISD,Texas,1173,0,0.03,0.1,0.26001705,12.59,0.913,0
JENKINS COUNTY,Georgia,1172,0,0.03,0.09,1,12.13,1.023,0
TREUTLEN COUNTY,Georgia,1172,0,0.01,0.12,1,14.97,0.96,0
ROSEAU PUBLIC SCHOOL DISTRICT,Minnesota,1172,0,0,0.16,0.292662116,15.44,1.003,0
FRANKLIN SCHOOL DISTRICT,New Hampshire,1172,0,0,0.17,0.542662116,13.09,0.992,0
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,1171,0,0,0.16,0.430401366,13.96,1.008,0
TARRANT CITY,Alabama,1170,0,0.11,0.09,0.639316239,19.5,1.037,0
CLEARWATER,Kansas,1170,0,0.01,0.18,0.316239316,14.1,0.943,0
EMERSON PUBLIC SCHOOL DISTRICT,New Jersey,1170,0,0.01,0.16,0.076068376,11.85,1.039,0
GREENVILLE CENTRAL SCHOOL DISTRICT,New York,1170,0,0,0.17,0.347008547,10.72,1.039,0
MERCED COUNTY OFFICE OF EDUCATION,California,1169,0.14,0.22,0.03,0.889649273,13.39,0.959,0
BEAR LAKE COUNTY DISTRICT,Idaho,1169,0,0,0.13,0.47219846,18.49,0.956,0
TRITON SCHOOL DISTRICT,Minnesota,1169,0,0.05,0.17,0.374679213,14.22,1.098,0
UPPER DAUPHIN AREA SD,Pennsylvania,1169,0,0,0.16,0.438836612,16.39,0.928,0
EARLY ISD,Texas,1169,0,0.01,0.09,0.49358426,11.1,0.805,0
MORRIS SD 54,Illinois,1168,0,0.06,0.16,0.494006849,16.45,1.031,0
CANNON FALLS PUBLIC SCHOOL DISTRICT,Minnesota,1168,0,0.01,0.12,0.239726027,15.79,0.956,0
BERGMAN SCHOOL DISTRICT,Arkansas,1167,0,0,0.11,0.300771208,13.89,0.955,0
WORTH SD 127,Illinois,1167,0,0.17,0.17,0.528706084,15.88,0.908,0
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,1167,0,0,0.13,0.393316195,15.65,0.944,0
HIGHLAND SCHOOL DISTRICT,Washington,1167,0,0.3,0.12,0.317751105,15.9,0.959,0
JOHNSON COUNTY,Georgia,1166,0,0,0.13,0.702287946,15.14,1.035,0
W HARVEY-DIXMOOR PSD 147,Illinois,1166,0,0.2,0.15,0.93567753,14.22,1.118,0
MOUNT VERNON COMM SCHOOL DISTRICT,Iowa,1166,0,0.01,0.08,0.147512864,12.37,0.901,0
RED OAK COMM SCHOOL DISTRICT,Iowa,1166,0,0.04,0.13,0.605488851,13.16,0.872,0
WESTVILLE,Oklahoma,1166,0,0.03,0.16,0.813036021,15.44,1.018,1
NADABURG UNIFIED SCHOOL DISTRICT,Arizona,1165,0,0.03,0.12,0.478969957,23.43,1.338,1
ORANGE SCHOOL DISTRICT,Connecticut,1165,0,0.06,0.09,0.36196319,12.14,0.975,0
BENTON CO SCHOOL DIST,Mississippi,1165,0,0.02,0.19,0.84806867,12.64,0.982,0
HOLTON,Kansas,1164,0,0.03,0.12,0.382302405,12.34,1.155,0
KANE AREA SD,Pennsylvania,1164,0,0,0.2,0.514604811,13.13,0.85,0
DAVINCI ACADEMY,Utah,1164,1,0.03,0.12,0.414948454,21.8,1.377,0
MOUNTAIN VIEW-BIRCH TREE R-III,Missouri,1163,0,0,0.17,0.722269991,12.2,1.013,0
NORTHBROOK/GLENVIEW SD 30,Illinois,1162,0,0.08,0.15,0.012908778,10.9,0.949,0
SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,Nebraska,1162,0,0,0.14,0.174698795,13.64,0.975,0
LIBERTY LOCAL,Ohio,1162,0,0.01,0.15,0.619621343,16.52,0.816,0
NYSSA SD 26,Oregon,1162,0,0.28,0.17,0.704819277,17.38,1.004,0
ST. CROIX PREPARATORY ACADEMY,Minnesota,1161,1,0.01,0.1,0.062015504,17.29,0.953,0
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,1161,0,0,0.13,0.361757106,12.58,0.846,0
LINE MOUNTAIN SD,Pennsylvania,1161,0,0,0.14,0.420327304,13.66,0.926,0
KINGSBURG JOINT UNION HIGH,California,1160,0,0.06,0.09,0.385344828,19.89,0.862,0
NORTH JUDSON-SAN PIERRE SCH CORP,Indiana,1160,0,0.01,0.18,0.472413793,17.92,0.937,0
BLUE EARTH AREA PUBLIC SCHOOL,Minnesota,1160,0,0.02,0.15,0.425,14.18,1.067,0
GARAWAY LOCAL,Ohio,1159,0,0.01,0.17,0.366695427,17.16,0.916,0
MADISON CENTRAL SCHOOL DISTRICT 39-2,South Dakota,1159,0,0.01,0.15,0.278688525,14.7,0.903,0
FOREST CITY COMM SCHOOL DISTRICT,Iowa,1158,0,0,0.15,0.371329879,13,0.92,0
FAIR GROVE R-X,Missouri,1158,0,0,0.12,0.395509499,14.24,0.946,0
CENTRAL HEIGHTS ISD,Texas,1158,0,0.04,0.07,0.386010363,14.2,0.866,0
PERRY,Oklahoma,1157,0,0,0.13,0.519446845,17.43,0.93,1
WICKENBURG UNIFIED DISTRICT,Arizona,1156,0,0.06,0.12,0.599480969,14.97,0.862,1
LINCOLN ESD 27,Illinois,1156,0,0,0.18,0.542387543,13.42,1.081,0
RENSSELAER CITY SCHOOL DISTRICT,New York,1156,0,0.05,0.2,0.69550173,11.64,1.141,0
IOWA FALLS COMM SCHOOL DISTRICT,Iowa,1154,0,0.02,0.14,0.386481802,13.09,0.962,0
RSU 38,Maine,1154,0,0.01,0.12,0.370017331,10.29,0.933,0
LAKE CITY AREA SCHOOL DISTRICT,Michigan,1154,0,0,0.11,0.622183709,18.14,1.038,0
ESTES PARK SCHOOL DISTRICT R-3,Colorado,1153,0,0.12,0.11,0.405897658,14.72,1.028,1
EAST WAKE ACADEMY,North Carolina,1153,1,0,0.1,0.21942758,15.6,1.148,0
JONES,Oklahoma,1152,0,0.02,0.1,0.578993056,18.03,1.129,1
MCKINLEYVILLE UNION ELEMENTARY,California,1151,0,0.03,0.22,0.545612511,20.6,1.138,0
WESTCHESTER SD 92-5,Illinois,1151,0,0.09,0.15,0.380538662,14.72,0.964,0
SOUTH RIPLEY COM SCH CORP,Indiana,1151,0,0.01,0.19,0.518679409,13.23,1.001,0
OSCODA AREA SCHOOLS,Michigan,1151,0,0,0.16,0.690703736,16.49,0.978,0
